Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Recidivism Type,Sex
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Discharged - Expiration of Sentence,,Yes,831,D Felony,Drug,Trafficking,No,New,Male
2013,2016,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged - Expiration of Sentence,,Yes,177,C Felony,Violent,Assault,No,New,Male
2013,2016,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole Granted,5JD,Yes,644,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,Under 25,D Felony,Public Order,OWI,Paroled to Detainer - INS,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Hispanic,Under 25,D Felony,Property,Burglary,Parole Granted,3JD,Yes,210,,,,Yes,Tech,Male
2013,2016,American Indian or Alaska Native - Non-Hispanic,35-44,C Felony,Violent,Sex,Released to Special Sentence,6JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,Under 25,D Felony,Violent,Sex,Parole Granted,3JD,Yes,477,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Asian or Pacific Islander - Non-Hispanic,35-44,B Felony,Violent,Murder/Manslaughter,Paroled to Detainer - INS,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,55 and Older,D Felony,Property,Theft,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Traffic,Discharged - Expiration of Sentence,,Yes,459,Aggravated Misdemeanor,Violent,Assault,No,New,Male
2013,2016,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Parole Granted,8JD,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole Granted,5JD,Yes,211,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Violent,Sex,Parole Granted,1JD,Yes,385,Aggravated Misdemeanor,Violent,Assault,Yes,New,Male
2013,2016,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Paroled to Detainer - Out of State,1JD,Yes,749,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,New,Male
2013,2016,White - Non-Hispanic,35-44,C Felony,Violent,Sex,Released to Special Sentence,5JD,Yes,505,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Other,Other Criminal,Released to Special Sentence,7JD,Yes,453,,,,Yes,Tech,Male
2013,2016,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged - Expiration of Sentence,,Yes,460,Aggravated Misdemeanor,Property,Theft,No,New,Male
2013,2016,White - Non-Hispanic,25-34,B Felony,Violent,Murder/Manslaughter,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,B Felony,Violent,Murder/Manslaughter,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole Granted,7JD,Yes,151,,,,Yes,Tech,Female
2013,2016,Black - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole Granted,6JD,Yes,352,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,New,Male
2013,2016,White - Hispanic,Under 25,C Felony,Violent,Other Violent,Parole Granted,3JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Hispanic,Under 25,C Felony,Violent,Other Violent,Parole Granted,3JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Sex,Released to Special Sentence,3JD,Yes,116,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole Granted,2JD,No,,,,,Yes,No Recidivism,Female
2013,2016,Black - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole Granted,6JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Property,Vandalism,Parole Granted,7JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,Special Sentence 2005,Violent,Sex,Released to Special Sentence,7JD,Yes,304,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,6JD,Yes,556,Aggravated Misdemeanor,Property,Burglary,Yes,New,Male
2013,2016,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,5JD,Yes,177,Special Sentence 2005,Violent,Sex,Yes,New,Male
2013,2016,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Parole Granted,2JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole Granted,3JD,Yes,699,D Felony,Public Order,OWI,Yes,New,Male
2013,2016,White - Non-Hispanic,35-44,Serious Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Female
2013,2016,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Paroled w/Immediate Discharge,3JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Sex,Released to Special Sentence,4JD,Yes,883,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,3JD,Yes,318,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,45-54,C Felony,Property,Theft,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole Granted,1JD,Yes,442,Aggravated Misdemeanor,Drug,Drug Possession,Yes,New,Male
2013,2016,White - Non-Hispanic,Under 25,C Felony,Violent,Sex,Released to Special Sentence,2JD,Yes,102,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole Granted,5JD,Yes,134,,,,Yes,Tech,Female
2013,2016,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Discharged - Expiration of Sentence,,Yes,988,Felony - Enhancement to Original Penalty,Other,Other Criminal,No,New,Female
2013,2016,White - Non-Hispanic,Under 25,D Felony,Public Order,Traffic,Parole Granted,7JD,Yes,224,,,,Yes,Tech,Male
2013,2016,Black - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole Granted,5JD,Yes,370,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Paroled w/Immediate Discharge,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,Under 25,C Felony,Property,Arson,Parole Granted,4JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole Granted,7JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,,Yes,145,,,,Yes,Tech,Male
2013,2016,Black - Non-Hispanic,45-54,D Felony,Violent,Assault,Paroled to Detainer - Iowa,3JD,Yes,899,D Felony,Drug,Other Drug,Yes,New,Male
2013,2016,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Violent,Assault,Parole Granted,3JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,OWI,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,B Felony,Violent,Assault,Parole Granted,,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Paroled to Detainer - Out of State,,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Released to Special Sentence,8JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Discharged - Expiration of Sentence,,Yes,525,C Felony,Property,Theft,No,New,Male
2013,2016,Black - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole Granted,1JD,Yes,351,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
2013,2016,White - Hispanic,35-44,D Felony,Property,Forgery/Fraud,Paroled to Detainer - INS,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole Granted,2JD,Yes,86,D Felony,Drug,Drug Possession,Yes,New,Male
2013,2016,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole Granted,5JD,Yes,442,,,,Yes,Tech,Male
2013,2016,White - Hispanic,25-34,C Felony,Property,Theft,Parole Granted,3JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,Under 25,C Felony,Property,Theft,Parole Granted,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Female
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,C Felony,Violent,Sex,Parole Granted,3JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,35-44,B Felony,Violent,Other Violent,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Female
2013,2016,Black - Non-Hispanic,Under 25,C Felony,Violent,Assault,Parole Granted,3JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Parole Granted,4JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,35-44,D Felony,Drug,Other Drug,Parole Granted,7JD,Yes,63,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Violent,Assault,Parole Granted,4JD,Yes,562,,,,Yes,Tech,Male
2013,2016,American Indian or Alaska Native - Non-Hispanic,45-54,C Felony,Property,Burglary,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole Granted,5JD,Yes,48,,,,Yes,Tech,Male
2013,2016,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,American Indian or Alaska Native - Non-Hispanic,35-44,D Felony,Public Order,OWI,Discharged - Expiration of Sentence,,Yes,818,D Felony,Public Order,Traffic,No,New,Female
2013,2016,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Parole Granted,4JD,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole Granted,4JD,Yes,301,,,,Yes,Tech,Female
2013,2016,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Paroled w/Immediate Discharge,3JD,Yes,583,C Felony,Property,Burglary,Yes,New,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Discharged - Expiration of Sentence,,Yes,293,D Felony,Public Order,Traffic,No,New,Male
2013,2016,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole Granted,7JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole Granted,7JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole Granted,7JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole Granted,7JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,Parole Granted,7JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,Parole Granted,7JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,Parole Granted,8JD,Yes,161,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole Granted,1JD,Yes,584,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,6JD,Yes,1057,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,45-54,Serious Misdemeanor,Property,Theft,Discharged - Expiration of Sentence,,Yes,549,Serious Misdemeanor,Violent,Assault,No,New,Male
2013,2016,White - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,Discharged - Expiration of Sentence,,Yes,20,,,,No,Tech,Male
2013,2016,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Public Order,Alcohol,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Female
2013,2016,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole Granted,2JD,Yes,387,,,,Yes,Tech,Male
2013,2016,Black - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Paroled to Detainer - U.S. Marshall,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Parole Granted,5JD,Yes,615,,,,Yes,Tech,Female
2013,2016,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole Granted,8JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole Granted,8JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole Granted,8JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole Granted,8JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole Granted,5JD,Yes,153,Serious Misdemeanor,Property,Theft,Yes,New,Male
2013,2016,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole Granted,5JD,Yes,1086,,,,Yes,Tech,Female
2013,2016,Black - Non-Hispanic,Under 25,C Felony,Violent,Assault,Parole Granted,8JD,Yes,271,C Felony,Violent,Robbery,Yes,New,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Public Order,Other Public Order,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Female
2013,2016,Black - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole Granted,2JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole Granted,5JD,Yes,434,Serious Misdemeanor,Public Order,Flight/Escape,Yes,New,Male
2013,2016,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Parole Granted,5JD,No,,,,,Yes,No Recidivism,Female
2013,2016,Black - Non-Hispanic,45-54,C Felony,Violent,Assault,Parole Granted,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole Granted,5JD,Yes,550,,,,Yes,Tech,Male
2013,2016,Black - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Paroled w/Immediate Discharge,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,35-44,C Felony,Violent,Assault,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole Granted,8JD,Yes,300,,,,Yes,Tech,Female
2013,2016,White - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Female
2013,2016,White - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Female
2013,2016,Black - Non-Hispanic,35-44,C Felony,Property,Forgery/Fraud,Paroled w/Immediate Discharge,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Paroled w/Immediate Discharge,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Other,Other Criminal,Discharged - Expiration of Sentence,,Yes,255,Felony - Enhancement to Original Penalty,Other,Other Criminal,No,New,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,1JD,Yes,505,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
2013,2016,White - Hispanic,35-44,D Felony,Public Order,OWI,Parole Granted,6JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,D Felony,Violent,Sex,Released to Special Sentence,5JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Property,Arson,Discharged - Expiration of Sentence,,Yes,576,D Felony,Property,Burglary,No,New,Male
2013,2016,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Parole Granted,1JD,Yes,241,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole Granted,6JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole Granted,6JD,No,,,,,Yes,No Recidivism,Male
2013,2016,American Indian or Alaska Native - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,American Indian or Alaska Native - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,Black - Non-Hispanic,25-34,B Felony,Violent,Other Violent,Parole Granted,8JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,5JD,Yes,833,D Felony,Drug,Trafficking,Yes,New,Male
2013,2016,Black - Non-Hispanic,45-54,C Felony,Violent,Assault,Discharged - Expiration of Sentence,,No,,,,,No,No Recidivism,Male
2013,2016,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Paroled to Detainer - U.S. Marshall,,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole Granted,5JD,Yes,665,D Felony,Drug,Drug Possession,Yes,New,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Property,Theft,Parole Granted,5JD,Yes,462,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,New,Male
2013,2016,White - Non-Hispanic,55 and Older,C Felony,Violent,Sex,Released to Special Sentence,3JD,No,,,,,Yes,No Recidivism,Male
2013,2016,Black - Non-Hispanic,55 and Older,D Felony,Property,Burglary,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole Granted,4JD,Yes,211,,,,Yes,Tech,Male
2013,2016,Black - Non-Hispanic,45-54,D Felony,Violent,Murder/Manslaughter,Parole Granted,1JD,Yes,738,,,,Yes,Tech,Male
2013,2016,Black - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole Granted,7JD,Yes,415,D Felony,Property,Burglary,Yes,New,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,5JD,Yes,340,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole Granted,5JD,Yes,498,C Felony,Drug,Trafficking,Yes,New,Female
2013,2016,Black - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,1JD,Yes,232,Aggravated Misdemeanor,Property,Theft,Yes,New,Male
2013,2016,American Indian or Alaska Native - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Discharged - Expiration of Sentence,,Yes,483,D Felony,Property,Theft,No,New,Male
2013,2016,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole Granted,5JD,Yes,622,,,,Yes,Tech,Male
2013,2016,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole Granted,2JD,Yes,579,Aggravated Misdemeanor,Property,Vandalism,Yes,New,Male
2013,2016,American Indian or Alaska Native - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Burglary,Paroled w/Immediate Discharge,,No,,,,,Yes,No Recidivism,Male
2013,2016,American Indian or Alaska Native - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole Granted,6JD,Yes,226,,,,Yes,Tech,Male
2013,2016,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Male
2013,2016,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole Granted,1JD,No,,,,,Yes,No Recidivism,Female
